SellerCase Dev;Platinium;45,40;170;34,90;0,00;2;41;0;6;12;1268
ReferR2 Dev;Iron;0,00;1192;42,20;0,00;48;241;0;0;4;5055
WebAnalytic Dev;Iron;2,10;10914;38,20;4,70;288;3342;0;10;11;41147
Relevance Dev;Iron;24,50;969;35,20;5,60;6;139;0;85;243;4922
Search Dev;Iron;32,30;10107;39,70;3,60;35;1472;0;264;337;37575
AffiliationTransaction Dev;Iron;51,70;1818;45,00;1,30;3;305;0;32;38;7226
LoyaltyAccount Dev;Iron;72,50;480;42,10;5,30;0;13;0;35;35;2022
CustomerSubscription Dev;Platinium;89,80;1302;40,00;3,00;0;44;0;168;168;5061
Brand Dev;Iron;39,30;801;35,40;12,20;9;128;0;15;16;4226
MatchingURL Dev;Iron;40,60;741;38,90;1,50;8;249;0;19;26;2908
SeoSem Dev;Iron;40,20;671;38,40;6,40;28;158;0;20;38;2938
WebPositioning Dev;Iron;20,40;10964;35,40;5,20;370;2843;0;185;269;42278
CDSCore.PhoneContract Dev;Iron;0,00;129;5,50;0,00;0;37;0;0;0;727
Customization Dev;Iron;35,30;1350;44,60;0,60;22;393;0;5;14;4961
Game Dev;Iron;0,00;1384;42,80;13,40;11;396;0;0;6;5256
LeadManagement Dev;Iron;0,00;484;40,50;0,00;2;47;0;0;0;1788
ShoppingCart Dev;Iron;51,70;4313;34,40;3,10;55;1127;1;47;114;17467
Wishlist Dev;Iron;35,20;1256;41,80;7,80;7;271;0;14;15;4963
CommercialOffer Dev;Iron;10,20;10136;39,10;4,20;75;1831;0;59;139;32928
Partner Dev;Iron;0,00;488;44,90;2,40;2;147;0;0;25;2389
Social Dev;Iron;42,90;2191;42,60;8,90;19;716;1;5;5;8816
VisualTheming Dev;Iron;0,00;178;40,70;5,30;0;80;0;0;1;921
Customer Dev;Iron;20,20;9631;40,00;6,00;92;2283;0;247;368;34127
MailFactory Dev;Iron;18,50;1601;42,20;6,60;22;514;0;48;67;6061
Survey Dev;Iron;41,50;364;44,40;0,00;5;92;0;12;31;1736
Retail Dev;Iron;0,00;526;38,50;5,80;1;151;0;0;9;2276
SubscriptionR2 Dev;Iron;0,80;3397;42,90;6,30;0;105;0;2;4;10742
TacticalPricing Dev;Platinium;60,40;555;37,80;0,00;5;20;0;72;72;2180
ConveyorInvestigation Dev;Iron;73,30;913;39,80;6,10;0;151;0;182;206;3035
Logistics Dev;Iron;61,60;1635;41,80;5,80;3;311;0;150;161;5335
Shipping Dev;Iron;24,80;21063;36,80;3,80;454;4363;0;662;1141;78034
Slot Dev;Iron;60,50;983;36,40;0,00;1;62;0;312;572;4078
WMS Dev;Iron;81,90;3080;44,70;1,30;0;394;0;245;261;8401
OrderPipeline Dev;Platinium;82,10;1377;39,50;0,70;1;52;0;143;146;5088
